Wavelength,Responsivity
510.5,11.2976
510.6,11.3158
510.7,11.334
510.8,11.3523
510.9,11.3706
511,11.389
511.1,11.4074
511.2,11.4259
511.3,11.4444
511.4,11.463
511.5,11.4817
511.6,11.5004
511.7,11.5191
511.8,11.5379
511.9,11.5568
512,11.5757
512.1,11.5946
512.2,11.6137
512.3,11.6327
512.4,11.6519
512.5,11.671
512.6,11.6903
512.7,11.7096
512.8,11.7289
512.9,11.7483
513,11.7677
513.1,11.7872
513.2,11.8068
513.3,11.8264
513.4,11.846
513.5,11.8658
513.6,11.8855
513.7,11.9052
513.8,11.9249
513.9,11.9446
514,11.9642
514.1,11.9838
514.2,12.0033
514.3,12.0229
514.4,12.0423
514.5,12.0618
514.6,12.0812
514.7,12.1005
514.8,12.1198
514.9,12.1391
515,12.1584
515.1,12.1776
515.2,12.1968
515.3,12.2159
515.4,12.235
515.5,12.254
515.6,12.2731
515.7,12.2921
515.8,12.311
515.9,12.3299
516,12.3488
516.1,12.3676
516.2,12.3864
516.3,12.4052
516.4,12.4239
516.5,12.4426
516.6,12.4613
516.7,12.4799
516.8,12.4984
516.9,12.517
517,12.5355
517.1,12.554
517.2,12.5724
517.3,12.5908
517.4,12.6091
517.5,12.6274
517.6,12.6457
517.7,12.664
517.8,12.6822
517.9,12.7003
518,12.7185
518.1,12.7365
518.2,12.7546
518.3,12.7726
518.4,12.7906
518.5,12.8085
518.6,12.8264
518.7,12.8443
518.8,12.8621
518.9,12.8799
519,12.8977
519.1,12.9154
519.2,12.9331
519.3,12.9507
519.4,12.9683
519.5,12.9859
519.6,13.0034
519.7,13.0209
519.8,13.0384
519.9,13.0558
520,13.0732
520.1,13.0905
520.2,13.1079
520.3,13.1251
520.4,13.1424
520.5,13.1596
520.6,13.1767
520.7,13.1938
520.8,13.2109
520.9,13.228
521,13.245
521.1,13.262
521.2,13.2789
521.3,13.2958
521.4,13.3126
521.5,13.3295
521.6,13.3463
521.7,13.363
521.8,13.3797
521.9,13.3964
522,13.413
